Laisser vide,String,String ou vide,Integer
id,name,parent,display_order
,Liants / Mortiers,,
,Sables et graviers,,
,Mortiers et bétons frais,,
,Briques et linteaux,,
,Produits PVC,,
,Produits ciment,,
,Isolation,,
,Colle carrelages,,
,Étanchéité,,
,Aciers,,
,Divers,,
,Kerakoll,Liants / Mortiers,
,Granol,Liants / Mortiers,
,Fixit,Liants / Mortiers,
,Brique terre cuite,Briques et linteaux,
,Brique ciment,Briques et linteaux,
,YTONG,Briques et linteaux,
,Linteau plat,Briques et linteaux,
,Linteau terre cuite,Briques et linteaux,
,Linteau ciment,Briques et linteaux,
,Tuyau PVC,Produits PVC,
,Tuyau PVC perforé,Produits PVC,
,Coude PVC ∅ 100mm,Produits PVC,
,Coude PVC ∅ 125mm,Produits PVC,
,Coude PVC ∅ 150mm,Produits PVC,
,Coude PVC ∅ 200mm,Produits PVC,
,Coude PVC ∅ 250mm,Produits PVC,
,Coude PVC ∅ 300mm,Produits PVC,
,Manchon PVC,Produits PVC,
,Embranchement PVC,Produits PVC,
,Réduction PVC,Produits PVC,
,Bouchon PVC,Produits PVC,
,Tuyau PE,Produits PVC,
,Coude PE,Produits PVC,
,Manchon PE,Produits PVC,
,Raccord PVC/ciment,Produits PVC,
,Tuyau ciment,Produits ciment,
,Tube ciment,Produits ciment,
,Anneau ciment,Produits ciment,
,Cône ciment,Produits ciment,
,Bouchon ciment,Produits ciment,
,Couvercle Begu,Produits ciment,
,Couvercle en fonte,Produits ciment,
,Bordure,Produits ciment,
,Saut de loup,Produits ciment,
,Gopor,Isolation,
,Styrodur,Isolation,
,SW,Isolation,
,HS,Isolation,
,Cermix,Colle carrelages,
,Rivalcoll,Étanchéité,
,Adesilex,Étanchéité,
,Mapeband,Étanchéité,
,Ligature,Aciers,
,Paniers de supports,Aciers,
,Acier III,Aciers,
,Treillis,Aciers,
,FI RIPA,Aciers,
,EBEA,Aciers,
