Laisser vide,String,true ou false,String ou vide,float,float,String,String,laisser vide,string,true ou false,string,integer
id,name,active,comment,cost_price,sale_price,in_barcode,out_barecode,image,category,to_display,unit,stock
,"Ciment Portland, sac de 25 kg",true,,5.44,,,,ciment-portland.jpg,Liants / Mortiers,true,sac,
,Ciment blanc,true,,19.70,,,,ciment-blanc.jpg,Liants / Mortiers,true,sac,
,Ciment Lafarge,true,,35.18,,,,,Liants / Mortiers,true,sac,
,Ciment Fondu,true,,42.60,,,,ciment-fondu.jpg,Liants / Mortiers,true,sac,
,Ciment Prompt,true,,16.80,,,,ciment_prompt.jpg,Liants / Mortiers,true,sac,
,Chaux hydraulique,true,,9.40,,,,,Liants / Mortiers,true,sac,
,Chaux hydratée,true,,10.00,,,,,Liants / Mortiers,true,sac,
,Lampocem 25 kg,true,,21.25,,,,Lampocem_25kg.jpg,Liants / Mortiers,true,sac,
,Lamposilex 5 kg,true,,24.50,,,,lamposilex.jpg,Liants / Mortiers,true,sac,
,Masterflow 928,true,,36.10,,,,masterflow928.jpg,Liants / Mortiers,true,sac,
,"Masterflow 980 mortier de scellement, sac de 25 kg",true,,36.10,,,,masterflow980.jpg,Liants / Mortiers,true,sac,
,Prestocem  sac de 25 kg,true,,11.70,,,,prestocem.jpg,Liants / Mortiers,true,sac,
,Sakret,true,,22.05,,,,sakret.png,Liants / Mortiers,true,sac,
,Kerakoll idrobuild osmocem sac de 25 kg,true,,1.20,,,,kerakoll-osmocem.jpg,Kerakoll,true,kg,
,Kerakoll unikorikrea sac de 25 kg,true,,1.28,,,,,Kerakoll,true,kg,
,Kerakoll kerabuild R3 tixo sac de 25 kg,true,,0.93,,,,,Kerakoll,true,kg,
,Kerakoll kerabuild R4 anchor sac de 25 kg,true,,0.89,,,,,Kerakoll,true,kg,
,"Kerakoll H40 tenax gris, sac de 25 kg",true,,1.22,,,,,Kerakoll,true,kg,
,"Kerakoll rekord pronto p. chape, sac de 30 kg",true,,0.55,,,,,Kerakoll,true,kg,
,"Marmoran ISO  mortier KK70, sac de 30 kg",true,,56.40,,,,,Liants / Mortiers,true,sac,
,Mapegrout rapid mortier fibre sac de 25 kg,true,,30.18,,,,,Liants / Mortiers,true,sac,
,"Barra 57, sac de 25 kg",true,,5.34,,,,,Liants / Mortiers,true,kg,
,Barrafil lent sac de 8 kg,true,,27.88,,,,barrafil-lent.JPG,Liants / Mortiers,true,sac,
,Granol 25  20 kg 21 s/pal.,true,,26.51,,,,,Granol,true,sac,
,Granol 29 30 kg 28 s/pal.,true,,10.29,,,,granol-29.png,Granol,true,sac,
,Granol 270 30 kg 28s/pal,true,,10.43,,,,granol-270.png,Granol,true,sac,
,Granol 300 30 kg 28s/pal.,true,,24.11,,,,granol-300.png,Granol,true,sac,
,Granol 303 40 kg 21 s/pal.,true,,34.78,,,,granol-303.png,Granol,true,sac,
,Granol 352 40 kg  24s/pal.,true,,10.62,,,,granol-352.png,Granol,true,sac,
,Granol 420  30 kg 21s/pal.,true,,25.80,,,,granol-420.png,Granol,true,sac,
,Granol 900 30 kg 21 s/pal,true,,12.97,,,,granol-900.png,Granol,true,sac,
,Granol Sonogrand 2000,true,,54.99,,,,granol-2000.png,Granol,true,sac,
,Granolin 12 lt ,true,,10.06,,,,granolin.png,Granol,true,litre,
,"Isogran 25 enduit calorifuge, sac de 15 kg",true,,26.09,,,,isogran-25.png,Liants / Mortiers,true,sac,
,Kalkogrand 170 30 kg 28 s/pal.,true,,11.28,,,,kalkogran-170.png,Liants / Mortiers,true,sac,
,Colle brique terre cuite REC,true,,37.10,,,,,Liants / Mortiers,true,sac,
