Laisser vide,String,true ou false,String ou vide,float,float,String,String,laisser vide,string,true ou false,string,integer
id,name,active,comment,cost_price,sale_price,in_barcode,out_barecode,image,category,to_display,unit,stock
,Ciment Portland – sac 25kg,true,,,,,,,Liants / Mortiers,true,sac,
,Kerakoll idrobuild osmocem – sac 25kg,true,,,,,,,Kerakoll,true,kg,
,Kerakoll rekord pronto pour chape – sac 30kg,true,,,,,,,Kerakoll,true,kg,
,Granol 25 – 20kg – 21 s/pal.,true,,,,,,,Granol,true,sac,
,Granol 900 – 30kg – 21s/pal.,true,,,,,,,Granol,true,sac,
,Granolin 12lt,true,,,,,,,Granol,true,litre,
,Sable lavé,true,,,,,,,Sables et graviers,true,m³,
,Sable lavé,true,,,,,,,Sables et graviers,,br,
,Brique terre cuite ME 6,true,,,,,,,Brique terre cuite,true,pce,
,Brique terre cuite ME 12.5 pal. 144 pce,true,,,,,,,Brique terre cuite,true,pce,
,Brique ciment RAPID 10 à la pce,true,,,,,,,Brique ciment,true,pce,
,Brique ciment RAPID 10 au m²,true,,,,,,,Brique ciment,true,m²,
,Linteau plat YTONG 12.5 x 12.5 x 100 cm,true,,,,,,,Linteau plat,true,m,
,Linteau plat YTONG 15 x 12.5 x 100 cm,true,,,,,,,Linteau plat,true,m,
,Linteau terre cuite stalthon largeur 7.5,true,,,,,,,Linteau terre cuite,true,m,
,Linteau terre cuite stalthon largeur 10,true,,,,,,,Linteau terre cuite,true,m,
,Linteau terre cuite stalthon largeur 12,true,,,,,,,Linteau terre cuite,true,m,
,Linteau terre cuite stalthon largeur 15,true,,,,,,,Linteau terre cuite,true,m,
,Linteau terre cuite stalthon largeur 17.5,true,,,,,,,Linteau terre cuite,true,m,
,Linteau ciment largeur 10,true,,,,,,,Linteau ciment,true,m,
,Linteau ciment largeur 12,true,,,,,,,Linteau ciment,true,m,
,Linteau ciment largeur 15,true,,,,,,,Linteau ciment,true,m,
,Linteau ciment largeur 17.5,true,,,,,,,Linteau ciment,true,m,
,Tuyau PVC ∅ 100mm,true,,,,,,,Tuyau PVC,true,m,
,Tuyau PVC ∅ 125mm,true,,,,,,,Tuyau PVC,true,m,
,Tuyau PVC ∅ 150mm,true,,,,,,,Tuyau PVC,true,m,
,Tuyau PVC ∅ 200mm,true,,,,,,,Tuyau PVC,true,m,
,Tuyau PVC ∅ 250mm,true,,,,,,,Tuyau PVC,true,m,
,Tuyau PVC ∅ 300mm,true,,,,,,,Tuyau PVC,true,m,
,Tuyau PVC perforé ∅ 100mm,true,,,,,,,Tuyau PVC perforé,true,m,
,Tuyau PVC perforé ∅ 125mm,true,,,,,,,Tuyau PVC perforé,true,m,
,Tuyau PVC perforé ∅ 150mm,true,,,,,,,Tuyau PVC perforé,true,m,
,Coude PVC ∅ 100mm 15deg,true,,,,,,,Coude PVC ∅ 100mm,true,pce,
,Coude PVC ∅ 100mm 30deg,true,,,,,,,Coude PVC ∅ 100mm,true,pce,
,Coude PVC ∅ 100mm 45deg,true,,,,,,,Coude PVC ∅ 100mm,true,pce,
,Coude PVC ∅ 100mm 87deg,true,,,,,,,Coude PVC ∅ 100mm,true,pce,
,Coude PVC ∅ 125mm 15deg,true,,,,,,,Coude PVC ∅ 125mm,true,pce,
